timestamp,btc_price,slope_mean,slope_std,sm_delta,hedge_ratio,volatility,pnl
46:12.8,3881.102386,-0.332281415,0.049750481,0.890645498,-4,0.547505276,2101.110808
46:36.5,3881.102386,-0.339981357,0.050323538,0.689155444,-3,0.54768969,2177.232694
47:01.3,3881.102386,-0.322697983,0.057087822,0.49838103,-2,0.54748447,2255.768558
47:37.2,3881.102386,-0.316517876,0.071112755,0.33083331,-2,0.548610455,2278.798941
48:12.3,3853.904155,-0.296502157,0.077761604,-0.95,5,0.549354498,1036.001671
48:13.3,3881.102386,-0.33584897,0.075908651,0.196033065,-1,0.549061062,2351.471836
48:48.4,3853.904155,-0.276890068,0.076462264,-0.95,5,0.54889095,1154.110732
48:48.8,3881.102386,-0.311843821,0.069739799,0.085134824,0,0.548508364,2449.490107
51:25.0,3858.370782,-0.253211244,0.08765881,-0.543410553,3,0.549471437,1629.601268
51:25.8,3870.871843,-0.33481949,0.061894999,0.195346393,-1,0.547972409,2266.703899
51:48.8,3858.370782,-0.254635337,0.082996497,-0.416026255,2,0.549676309,1550.6667
52:24.7,3858.370782,-0.247113775,0.087102329,-0.314504158,2,0.5497452,1538.806584
52:26.6,3870.871843,-0.327173139,0.055406504,0.657767157,-3,0.547429019,2106.620475
52:48.5,3858.370782,-0.268308072,0.07981885,-0.239709033,1,0.549292706,1436.741963
53:25.3,3858.370782,-0.263243225,0.07846358,-0.202684927,1,0.549313445,1437.576104
54:00.7,3858.370782,-0.289106829,0.083245767,-0.193863843,1,0.549695424,1467.158989
54:18.8,3870.871843,-0.288927938,0.049549858,0.95,-5,0.546636701,1962.465836
54:24.6,3881.102386,-0.286870708,0.067622029,-0.039854819,0,0.548620204,2427.247961
54:48.5,3881.102386,-0.286508125,0.06973378,-0.156443898,1,0.548977539,2480.994949
55:01.9,3881.102386,-0.307647678,0.074971706,-0.95,5,0.549581632,2813.255482
55:36.8,3881.102386,-0.289296219,0.074549171,-0.262421778,1,0.548934271,2459.299924
59:49.0,3858.370782,-0.318108217,0.079114553,-0.168801288,1,0.549038546,2486.350896
